date,metric_name,metric_value,errors_count,notes
2026-04-21,task.created,4,0,source=outbox_events
2026-04-21,task.status_changed,2,0,source=outbox_events
2026-04-21,task.deleted,1,0,source=outbox_events
2026-04-21,task.enriched,0,0,source=outbox_events
2026-04-21,notification.sent,0,0,source=outbox_events
2026-04-21,auth.login,6,0,source=auth.audit_log
2026-04-23,task.created,0,0,source=outbox_events
2026-04-23,task.status_changed,0,0,source=outbox_events
2026-04-23,task.deleted,0,0,source=outbox_events
2026-04-23,task.enriched,0,0,source=outbox_events
2026-04-23,notification.sent,0,0,source=outbox_events
2026-04-23,auth.login,1,0,source=auth.audit_log
2026-04-24,task.created,14,0,source=outbox_events
2026-04-24,task.status_changed,5,0,source=outbox_events
2026-04-24,task.deleted,0,0,source=outbox_events
2026-04-24,task.enriched,0,0,source=outbox_events
2026-04-24,notification.sent,0,0,source=outbox_events
2026-04-24,auth.login,8,0,source=auth.audit_log
2026-04-27,task.created,1,0,source=outbox_events
2026-04-27,task.status_changed,10,0,source=outbox_events
2026-04-27,task.deleted,0,0,source=outbox_events
2026-04-27,task.enriched,0,0,source=outbox_events
2026-04-27,notification.sent,0,0,source=outbox_events
2026-04-27,auth.login,1,0,source=auth.audit_log
2026-05-05,task.created,0,0,source=outbox_events
2026-05-05,task.status_changed,0,0,source=outbox_events
2026-05-05,task.deleted,0,0,source=outbox_events
2026-05-05,task.enriched,0,0,source=outbox_events
2026-05-05,notification.sent,0,0,source=outbox_events
2026-05-05,auth.login,1,0,source=auth.audit_log
2026-05-07,task.created,4,0,source=outbox_events
2026-05-07,task.status_changed,6,0,source=outbox_events
2026-05-07,task.deleted,0,0,source=outbox_events
2026-05-07,task.enriched,10,0,source=outbox_events
2026-05-07,notification.sent,9,0,source=outbox_events
2026-05-07,auth.login,7,0,source=auth.audit_log
